license_number,ice_citation_count,first_citation,last_citation,repeat_violations,warnings_issued,corrected_onsite,mold_black,mold_pink,scoop_issue,bin_soiled,latest_observation,latest_citation_date,business_name,city,days_since_citation
6200003,2,2025-07-10,2025-10-03,3,0,0,3,1,1,1,Basic - Accumulation of black/pink mold-like substance in the interior of the ice machine. **Repeat Violation**,2025-10-03,LITTLE ITALY PIZZA SHOP,ST PETERSBURG,224
6200009,1,2025-07-16,2025-07-16,0,0,1,0,0,0,0,Basic - In-use ice bucket for ice machine located outside not stored in a protected manner between uses. Buckets not stored inverted and on top of hot water heater. Employee relocated. **Corrected On-Site**,2025-07-16,CHURCH'S CHICKEN #399,ST. PETERSBURG,303
6200047,1,2025-07-21,2025-07-21,0,1,1,0,0,1,0,"Basic - Ice scoop handle in contact with ice in ice machine located at rear kitchen exit.
Employee removed ice scoop from ice. **Corrected On-Site** **Warning**",2025-07-21,CHATTAWAY DRIVE INN,ST PETERSBURG,298
6200070,1,2026-04-02,2026-04-02,0,0,1,1,0,0,1,Basic - Accumulation of black/green mold-like substance in the interior of the ice machine/bin. Inside machine. **Corrected On-Site**,2026-04-02,CABANAS COASTAL GRILL,CLEARWATER BEACH,43
6200121,1,2025-12-08,2025-12-08,0,0,0,1,0,0,1,Basic - Accumulation of black/green mold-like substance in the interior of the ice machine/bin.,2025-12-08,GIGIS RESTAURANT,TREASURE ISLAND,158
6200362,1,2026-03-31,2026-03-31,0,0,1,1,0,0,1,Basic - Accumulation of black/green mold-like substance in the interior of the ice machine/bin. Ice machine interior soiled with black mold like debris. Employee cleaned area during inspection.   **Corrected On-Site**,2026-03-31,SNAPPERS SEA GRILL,ST.PETE BEACH,45
6200375,3,2025-09-03,2026-02-20,1,4,0,5,2,0,3,"Basic - Accumulation of black/green mold-like substance in the interior of the ice machine/bin.
Interior soiled with black substance.  **Repeat Violation**",2026-02-20,CENTRAL COFFEE SHOP,ST. PETERSBURG,84
6200376,1,2026-03-16,2026-03-16,0,0,0,0,0,0,1,"Basic - Interior of ice machine/bin with rust that has pitted the surface
Interior of ice machine has rust that is pitted to the surface.",2026-03-16,KFC (569059),DUNEDIN,60
6200483,1,2025-07-14,2025-07-14,0,2,0,0,0,0,0,Basic - Reach-in cooler interior/shelves have accumulation of soil residues. Gasket in rear RIC by ice machine soiled. **Warning**,2025-07-14,BRUNOS PIZZERIA,SAINT PETERSBURG,305
6200500,1,2025-09-17,2025-09-17,0,0,0,1,0,0,0,Basic - Accumulation of black mold-like substance and debris in the interior of the ice machine.,2025-09-17,THE BURG DINER,ST. PETERSBURG,240
6200528,1,2026-03-17,2026-03-17,0,0,0,0,0,1,0,"Basic - In-use ice scoop and bucket for ice machine located outside not stored in a protected manner between uses.
Next to outside ice machine",2026-03-17,FRIENDLY TAVERN,REDINGTON SHORES,59
6200531,2,2026-03-13,2026-03-17,0,2,0,0,2,0,0,Basic - - From initial inspection : Basic - Accumulation of pink mold-like substance in the interior of the ice machine. **Warning**     - From follow-up inspection 2026-03-17:  **Time Extended**,2026-03-17,HEAVENLY DONUTS SWEETS & EATS,GULFPORT,59
6200645,1,2025-10-27,2025-10-27,0,0,0,1,0,0,1,Basic - Accumulation of black/green mold-like substance in the interior of the ice machine/bin.,2025-10-27,LARGO SUBMARINE & GYROS,LARGO,200
6200708,1,2026-03-20,2026-03-20,0,0,0,1,0,0,0,"Intermediate - Food-contact surface soiled with food debris, mold-like substance or slime. Ice machine plastic interior soiled with black substance.",2026-03-20,OKEEFES TAP ROOM & RES,CLEARWATER,56
6200737,2,2025-10-07,2025-10-08,0,0,0,2,2,1,0,Basic - - From initial inspection : Basic - Accumulation of black/pink mold-like substance in the interior of the ice machine.     - From follow-up inspection 2025-10-08:  **Time Extended**,2025-10-08,TCHOTCHKE,ST. PETERSBURG,219
6200739,2,2026-03-06,2026-03-10,2,2,0,0,0,0,0,Basic - - From initial inspection : Basic - Carbon dioxide near ice machine tanks not adequately secured. **Repeat Violation** **Warning**     - From follow-up inspection 2026-03-10:  **Time Extended**,2026-03-10,THE WHEELHOUSE,ST. PETERSBURG,66
6200753,2,2025-12-30,2025-12-31,0,2,0,2,0,0,3,"Basic - - From initial inspection : Basic - Accumulation of black/green mold-like substance in the interior of the ice machine/bin.
Accumulation of slime like substance in ice machine **Warning**     - From follow-up inspection 2025-12-31:  **Time Extended**",2025-12-31,TOSCANA ISLAND CLUBHOUSE,PALM HARBOR,135
6200800,8,2025-07-09,2026-01-13,6,8,0,9,0,0,8,"Basic - Nonfood-contact surface soiled with grease, food debris, dirt, slime or dust.

Gaskets soiled on reach-in cooler across from flat top grill with food debris and black mold like substance",2026-01-13,EL TENAMPA,ST. PETERSBURG,122
6200836,1,2026-01-08,2026-01-08,1,0,0,1,0,0,1,"Basic - Accumulation of black/green mold-like substance in the interior of the ice machine/bin.

Interior of ice machine located in rear of establishment with black mold like substance. **Repeat Violation**",2026-01-08,KISSIN CUZZINS FAMILY RESTAURANT,SAINT PETERSBURG,127
6200851,1,2025-07-16,2025-07-16,0,0,0,0,0,0,0,Basic - No handwashing sign provided at a hand sink used by food employees next to ice machine.,2025-07-16,TEN PIN LANE REST & LOUNGE,S PASADENA,303
6200997,1,2026-03-27,2026-03-27,1,0,2,0,0,1,0,Basic - In-use ice scoop stored on soiled surface between uses. Ice scoop stored in direct contact with sink use jelly in dry storage. Operator placed ice scoop in separate container.  **Corrected On-Site**,2026-03-27,TIN CAN CAFE,CLEARWATER,49
6201061,1,2026-01-28,2026-01-28,0,0,0,1,0,0,1,Basic - Accumulation of black/green mold-like substance in the interior of the ice machine/bin. Sides of inside machine.,2026-01-28,MONSTAH LOBSTAH IRB,INDIAN ROCKS BEACH,107
6201217,1,2026-01-14,2026-01-14,0,0,0,1,1,0,0,Basic - Accumulation of black / pink  mold-like substance in the interior on drop plate of the ice machine in dishwashing / storage area,2026-01-14,LENNYS REST,CLEARWATER,121
6205269,1,2026-01-06,2026-01-06,0,0,3,0,0,0,1,"Basic - Clean glasses, cups, bowls, plates, pots and pans not stored inverted or in a protected manner.
Ice bucket not inverted near ice machine. Operator inverted ice bucket. **Corrected On-Site**",2026-01-06,INNISBROOK RESORT & GOLF CLUB,PALM HARBOR,129
6205321,1,2026-03-11,2026-03-11,0,0,1,1,0,0,1,Basic - Unprotected ice machine in a customer/nonsecure area. Manager locked gate  **Corrected On-Site**,2026-03-11,CAPOGNA'S DUGOUT REST,CLEARWATER,65
6205852,1,2025-07-23,2025-07-23,0,0,0,1,0,0,0,Basic - Accumulation of black/green mold-like substance in the interior of the ice machine.,2025-07-23,MCDONALD'S,OLDSMAR,296
6206254,1,2026-01-15,2026-01-15,0,0,0,0,0,0,1,Basic - Accumulation of mold-like substance in the interior of the ice bin.,2026-01-15,FEATHER SOUND COUNTRY CLUB BANQUET,CLEARWATER,120
6206575,1,2025-07-29,2025-07-29,0,0,1,0,0,1,0,"Basic - Floor area(s) covered with standing water by ice machine, bread racks",2025-07-29,BURGER KING 83,ST. PETERSBURG,290
6206613,1,2025-11-03,2025-11-03,0,1,1,0,0,0,0,"Basic - Employee beverage container on a food preparation table or over/next to clean equipment/utensils.
-on prep table and small wait station next to ice machine. 
Operator removed, cleaned and sanitized area.  **Corrected On-Site** **Warning**",2025-11-03,KOPPER KITCHEN,ST. PETERSBURG,193
6206673,1,2025-11-18,2025-11-18,1,1,0,1,1,0,1,"Basic - Accumulation of black/pink  mold-like substance in the interior of the ice machine/bin. 
Water dripping from black/ pink mold like substance onto ice. see stop sale. **Repeat Violation** **Warning**",2025-11-18,DIMITRI'S ON THE WATER,TARPON SPRINGS,178
6206749,1,2026-01-14,2026-01-14,0,0,0,1,0,0,1,Basic - Accumulation of black/green mold-like substance in the interior of the ice machine/bin. Left inside wall  of bin.,2026-01-14,CLEARWATER YACHT CLUB,CLEARWATER BCH,121
6206786,1,2025-07-17,2025-07-17,0,0,1,0,0,0,0,"Basic - Unprotected ice machine in a customer/nonsecure area. Located in room in rear of establishment.
Operator locked ice machine. **Corrected On-Site**",2025-07-17,PASADENA BAR & GRILL,SOUTH PASADENA,302
6206913,2,2025-11-05,2026-03-25,2,0,0,2,0,0,2,Basic - Accumulation of black/green mold-like substance in the interior of the ice machine/bin. **Repeat Violation**,2026-03-25,GULF BISTRO,LARGO,51
6206971,1,2025-10-21,2025-10-21,0,1,0,0,0,0,0,"Intermediate - Handwash sink not accessible for employee use at all times.
Handwash sink near ice machine area  locked by cart. **Warning**",2025-10-21,EDDIE'S BAR & GRILL,DUNEDIN,206
6207153,1,2025-11-04,2025-11-04,0,0,0,1,0,0,1,"Basic - Accumulation of black/green mold-like substance in the interior of the ice machine behind front counter. 
-ice bin at wait station has interior rust",2025-11-04,SIDE DOOR DELI,SAINT PETERSBURG,192
6207181,1,2025-09-26,2025-09-26,0,0,0,0,0,0,0,"Basic - Floor soiled/has accumulation of debris.
Floor in area of ice machine
Walls in prep area and storage area
Ceiling on cook line, prep areas and storage area",2025-09-26,PARADISE RESTAURANT,SAFETY HARBOR,231
6207267,1,2026-03-18,2026-03-18,0,0,0,0,0,0,1,"Basic - Nonfood-contact surface soiled with grease, food debris, dirt, slime or dust.
Exterior ice bin lids.",2026-03-18,JIMMYS FISH HOUSE AND IGUANA BAR,CLEARWATER BEACH,58
6207291,1,2025-12-22,2025-12-22,0,0,0,1,0,0,1,Basic - Accumulation of black/green mold-like substance in the interior of the ice machine/bin.,2025-12-22,CRABBY BILLS,INDIAN ROCKS BEACH,144
6207410,1,2025-08-13,2025-08-13,0,0,0,0,0,0,0,"Basic - Equipment and utensils not properly air-dried - wet nesting.
Plastic cups above ice machine",2025-08-13,JOTO'S PIZZA,SEMINOLE,275
6207419,1,2026-01-05,2026-01-05,0,0,0,0,0,0,0,Basic - Floor area(s) covered with standing water. Behind ice machine.,2026-01-05,VILLAGE INN RESTAURANT,ST. PETERSBURG,130
6207420,1,2025-07-23,2025-07-23,1,0,1,1,0,0,0,"Basic - Nonfood-contact surface soiled with grease, food debris, dirt, slime or dust. Gaskets on reach-in coolers on cook-line soiled with black mold like substance.",2025-07-23,DENNY'S,ST. PETERSBURG,296
