Business Name,Address,City,Zip,License Number,Inspection Type,Inspection Disposition,Inspection Date,License ID,Visit ID
LA QUINTA INN & SUITES CLEARWATER CENTRAL,21338 US 19 N,CLEARWATER,33765,6215501,Complaint Full,Inspection Completed - No Further Action,02/03/2026,6029810,13624053
LITTLE ITALY PIZZA SHOP,3523 N 49 ST,ST PETERSBURG,337102149,6200003,Complaint Full,Inspection Completed - No Further Action,07/10/2025,2233783,10865634
LITTLE ITALY PIZZA SHOP,3523 N 49 ST,ST PETERSBURG,337102149,6200003,Complaint Full,Inspection Completed - No Further Action,10/03/2025,2233783,13526219
CHURCH'S CHICKEN #399,3510 CENTRAL AVE,ST. PETERSBURG,33711,6200009,Complaint Full,Administrative complaint recommended,07/16/2025,3998470,13459902
CHATTAWAY DRIVE INN,358 S 22 AVE,ST PETERSBURG,337053245,6200047,Complaint Full,Administrative complaint recommended,07/21/2025,2233839,10962506
CHATTAWAY DRIVE INN,358 S 22 AVE,ST PETERSBURG,337053245,6200047,Complaint Full,Warning Issued,02/11/2026,2233839,13619078
CHATTAWAY DRIVE INN,358 S 22 AVE,ST PETERSBURG,337053245,6200047,Complaint Full,Call Back - Complied,02/20/2026,2233839,13630953
CABANAS COASTAL GRILL,655 S GULFVIEW BLVD,CLEARWATER BEACH,33767,6200070,Routine - Food,Warning Issued,08/11/2025,7429884,10936237
CABANAS COASTAL GRILL,655 S GULFVIEW BLVD,CLEARWATER BEACH,33767,6200070,Routine - Food,Inspection Completed - No Further Action,04/02/2026,7429884,13489144
BURGER KING #1963,3554 CENTRAL AVE,ST. PETERSBURG,33711,6200105,Routine - Food,Inspection Completed - No Further Action,09/15/2025,5423699,10901635
GIGIS RESTAURANT,105 107 AVE,TREASURE ISLAND,337064715,6200121,Routine - Food,Inspection Completed - No Further Action,12/08/2025,2233932,10915035
ATHENS RESTAURANT,226 MAIN ST,SAFETY HARBOR,34695,6200165,Routine - Food,Inspection Completed - No Further Action,03/25/2026,8917203,13555633
TEDS LUNCHEONETTE,1201 CLEARWATER LARGO RD,LARGO,337701133,6200182,Routine - Food,Inspection Completed - No Further Action,08/26/2025,2233978,10903720
TEDS LUNCHEONETTE,1201 CLEARWATER LARGO RD,LARGO,337701133,6200182,Routine - Food,Inspection Completed - No Further Action,02/10/2026,2233978,13504809
CRABBY'S BEACHSIDE PAVILION,10 BAY ESPLANADE ,CLEARWATER,33767,6200230,Routine - Food,Inspection Completed - No Further Action,04/07/2026,9859406,13620502
PALM PAVILION,10 BAY ESPLANADE,CLEARWATER BCH,33767,6200230,Routine - Food,Inspection Completed - No Further Action,10/14/2025,2233995,10897247
ROYAL PALM ROOM,5300 GULF BLVD,ST.PETE BEACH,33706,6200234,Routine - Food,Inspection Completed - No Further Action,10/20/2025,8635466,10907986
ARBY'S #47,571 N 34 ST,ST PETERSBURG,337139024,6200241,Routine - Food,Inspection Completed - No Further Action,10/29/2025,2234002,10922376
THEE LIBERTY GRILL,1185 N HERCULES AVE,CLEARWATER,33765,6200341,Food-Licensing Inspection,Warning Issued,10/09/2025,9755028,13541021
BON APPETIT RESTAURANT,148 MARINA PLAZA,DUNEDIN,34698,6200358,Routine - Food,Inspection Completed - No Further Action,12/16/2025,8662794,10938298
BON APPETIT RESTAURANT,148 MARINA PLAZA,DUNEDIN,34698,6200358,Complaint Full,Warning Issued,02/26/2026,8662794,13641521
SNAPPERS SEA GRILL,5895 GULF BLVD,ST.PETE BEACH,33706,6200362,Routine - Food,Inspection Completed - No Further Action,03/31/2026,2234049,13585571
EL CAP INC,3500 4 ST N,ST PETERSBURG,33704,6200367,Routine - Food,Inspection Completed - No Further Action,01/23/2026,7465977,10879014
EL CAP INC,3500 4 ST N,ST PETERSBURG,33704,6200367,Complaint Full,Inspection Completed - No Further Action,09/02/2025,7465977,13506975
CENTRAL COFFEE SHOP,530 CENTRAL AVE,ST. PETERSBURG,33701,6200375,Routine - Food,Warning Issued,09/03/2025,8471849,10935666
CENTRAL COFFEE SHOP,530 CENTRAL AVE,ST. PETERSBURG,33701,6200375,Routine - Food,Call Back - Complied,09/18/2025,8471849,13510568
CENTRAL COFFEE SHOP,530 CENTRAL AVE,ST. PETERSBURG,33701,6200375,Routine - Food,Inspection Completed - No Further Action,02/20/2026,8471849,13511089
KFC (569059),956 PATRICIA AVE,DUNEDIN,34698,6200376,Routine - Food,Inspection Completed - No Further Action,12/19/2025,7938307,10876131
KFC (569059),956 PATRICIA AVE,DUNEDIN,34698,6200376,Complaint Full,Inspection Completed - No Further Action,03/16/2026,7938307,13642370
