visit_id,business_name,city,inspection_date,inspection_type,violation_code,observation,ice_machine_mention,ice_keyword_found,license_number,license_id
13624053,LA QUINTA INN & SUITES CLEARWATER CENTRAL,CLEARWATER,02/03/2026,Complaint Full,26-03-4,Basic - Dumpster lid open. Manager closed dumpster lids  **Corrected On-Site**,NO,,6215501,6029810
13624053,LA QUINTA INN & SUITES CLEARWATER CENTRAL,CLEARWATER,02/03/2026,Complaint Full,15-16-5,Basic - Mold-like substance  on caulking of the bathroom tub area in room 170. Manager put the room out of order to replace  the caulking . **Corrective Action Taken**,NO,,6215501,6029810
13624053,LA QUINTA INN & SUITES CLEARWATER CENTRAL,CLEARWATER,02/03/2026,Complaint Full,22-17-4,High Priority - Ice chute soiled with mold-like substance/slime/dry debris near main laundry room . Employee cleaned ice chute . **Corrected On-Site** **Repeat Violation**,NO,,6215501,6029810
13624053,LA QUINTA INN & SUITES CLEARWATER CENTRAL,CLEARWATER,02/03/2026,Complaint Full,01-02-4,Portable fire extinguisher pressure gauge indicates the extinguisher is in need of recharge in building C near room 161 . Manager contacted the fire extinguisher service and scheduled a replacement for the following day  . For reporting purposes only. **Corrective Action Taken**,NO,,6215501,6029810
10865634,LITTLE ITALY PIZZA SHOP,ST PETERSBURG,07/10/2025,Complaint Full,22-20-5,Basic - Accumulation of black/green mold-like substance in the interior of the ice machine/bin. Black mold like debris interior of ice machine.,YES,ice machine,6200003,2233783
10865634,LITTLE ITALY PIZZA SHOP,ST PETERSBURG,07/10/2025,Complaint Full,51-11-4,Basic - Carbon dioxide/helium tanks not adequately secured.  Co2 tanks not secured in rear ice machine room.,YES,ice machine,6200003,2233783
10865634,LITTLE ITALY PIZZA SHOP,ST PETERSBURG,07/10/2025,Complaint Full,14-11-5,Basic - Equipment in poor repair. Torn gasket on true reach in cooler in prep area.,NO,,6200003,2233783
10865634,LITTLE ITALY PIZZA SHOP,ST PETERSBURG,07/10/2025,Complaint Full,36-17-5,Basic - Floor tiles missing and/or in disrepair. Floor tile in rear prep area broken.,NO,,6200003,2233783
10865634,LITTLE ITALY PIZZA SHOP,ST PETERSBURG,07/10/2025,Complaint Full,08B-38-4,Basic - Food stored on floor. Container of sauce on the floor in walk in cooler. Employee moved container of sauce to riser.  **Corrected On-Site**,NO,,6200003,2233783
10865634,LITTLE ITALY PIZZA SHOP,ST PETERSBURG,07/10/2025,Complaint Full,10-14-5,Basic - Ice bucket/shovel stored on floor between uses. Ice buckets on floor in rear ice machine room.  Employee removed ice buckets.   **Corrective Action Taken**,YES,ice machine,6200003,2233783
10865634,LITTLE ITALY PIZZA SHOP,ST PETERSBURG,07/10/2025,Complaint Full,23-03-4,"Basic - Nonfood-contact surface soiled with grease, food debris, dirt, slime or dust. Dusty equipment in rear prep area.",NO,,6200003,2233783
10865634,LITTLE ITALY PIZZA SHOP,ST PETERSBURG,07/10/2025,Complaint Full,12B-13-4,Basic - Opened employee beverage container in a cold holding unit with food to be served to customers. Employee water in reach in cooler on front counter over foods to be served to the public.,NO,,6200003,2233783
10865634,LITTLE ITALY PIZZA SHOP,ST PETERSBURG,07/10/2025,Complaint Full,08B-17-4,Basic - Unwashed fruits/vegetables stored with ready-to-eat food. Unwashed tomatoes over mozzarella in walk in cooler.  Employee moved tomatoes to lower shelf.  **Corrected On-Site**,NO,,6200003,2233783
10865634,LITTLE ITALY PIZZA SHOP,ST PETERSBURG,07/10/2025,Complaint Full,21-12-4,Basic - Wet wiping cloth not stored in sanitizing solution between uses. Wet cloth on cutting board in prep area.  Employee put wet cloth in sanitizer bucket.  **Corrected On-Site**,NO,,6200003,2233783
10865634,LITTLE ITALY PIZZA SHOP,ST PETERSBURG,07/10/2025,Complaint Full,22-02-4,"Intermediate - Food-contact surface soiled with food debris, mold-like substance or slime. Containers holding dough soiled interior and exterior, mixer head and bowl soiled with flour and food debris, soda nozzle area on self service drink machine soiled with black mold like debris.  **Repeat Violation**",YES,black mold,6200003,2233783
10865634,LITTLE ITALY PIZZA SHOP,ST PETERSBURG,07/10/2025,Complaint Full,02C-02-5,"Intermediate - Ready-to-eat, time/temperature control for safety food prepared onsite and held more than 24 hours not properly date marked. Lasagna made 7-9 in the am no date mark. Employee dated lasagna.  **Corrected On-Site**",NO,,6200003,2233783
13526219,LITTLE ITALY PIZZA SHOP,ST PETERSBURG,10/03/2025,Complaint Full,22-20-5,Basic - Accumulation of black/pink mold-like substance in the interior of the ice machine. **Repeat Violation**,YES,ice machine,6200003,2233783
13526219,LITTLE ITALY PIZZA SHOP,ST PETERSBURG,10/03/2025,Complaint Full,23-24-4,Basic - Buildup of food debris/soil residue on walk in cooler door handle and microwave handles.,NO,,6200003,2233783
13526219,LITTLE ITALY PIZZA SHOP,ST PETERSBURG,10/03/2025,Complaint Full,51-11-4,"Basic - Carbon dioxide tanks not adequately secured in back room by ice machine. 
Operator attempted to secure with bungee cord, but there was nothing to tie it down to on one side.  **Repeat Violation**",YES,ice machine,6200003,2233783
13526219,LITTLE ITALY PIZZA SHOP,ST PETERSBURG,10/03/2025,Complaint Full,14-05-4,Basic - Cardboard used to line food-contact shelves in walk in cooler.,NO,,6200003,2233783
13526219,LITTLE ITALY PIZZA SHOP,ST PETERSBURG,10/03/2025,Complaint Full,36-34-5,"Basic - Ceiling/ceiling tiles/vents soiled with accumulated food debris, grease, dust, or mold-like substance.
-ceiling/ wall over deli cooler used for sandwich prep has accumulation of dust and grease debris",NO,,6200003,2233783
13526219,LITTLE ITALY PIZZA SHOP,ST PETERSBURG,10/03/2025,Complaint Full,40-06-5,"Basic - Employee personal items stored in or above a food preparation area, food, clean equipment and utensils, or single-service items.
-employee bad stored on dry storage shelf next to cans of food 
Operator moved away from food areas **Corrected On-Site**",NO,,6200003,2233783
13526219,LITTLE ITALY PIZZA SHOP,ST PETERSBURG,10/03/2025,Complaint Full,36-22-4,Basic - Floor area(s) covered with standing water in back room by ice machine,YES,ice machine,6200003,2233783
13526219,LITTLE ITALY PIZZA SHOP,ST PETERSBURG,10/03/2025,Complaint Full,36-73-4,Basic - Floor soiled/has accumulation of debris in walk in cooler.,NO,,6200003,2233783
